q_equivalent,eta,NMSD_linear,EMSE_linear
1.0,1e-05,0.9955328201492071,0.757854901750875
1.0,2.5e-05,0.9776328030061845,0.5374424445261403
1.0,5e-05,0.9634645460734842,0.4091081787791818
1.0,0.0001,0.956742158499515,0.3191769126457042
1.0,0.0002,0.9755529396183197,0.2630388410206274
1.0,0.00025,0.9920075296120192,0.25091883932309494
1.0,0.00030000000000000003,1.01079242276449,0.24269059779907493
1.0,0.00035,1.030945012745745,0.23665925747810973
1.0,0.00039999999999999996,1.0517924489077473,0.23192927614089298
1.0,0.00045,1.0728493216695674,0.22799156737742052
1.0,0.0005,1.0937626771537035,0.22454288017986654
1.0,0.0005499999999999999,1.1142777746680268,0.2213981341849714
1.0,0.0006,1.1355848916560387,0.29927994655484613
1.0,0.00065,15911.311125707403,920547.9633554883
1.0,0.0007,inf,inf
1.0,0.0007499999999999999,inf,inf
1.0,0.0007999999999999999,inf,inf
1.0,0.001,inf,inf
1.0,0.0015,inf,inf
1.0,0.002,inf,inf
1.01,1e-05,0.9954998978087907,0.7577716174377824
1.01,2.5e-05,0.9775183583674121,0.5372997002017782
1.01,5e-05,0.9631689162287711,0.408884205207443
1.01,0.0001,0.9559597785855649,0.31878538032695775
1.01,0.0002,0.9733064784537019,0.2622477265756459
1.01,0.00025,0.9887736858029675,0.2498944633117956
1.01,0.00030000000000000003,1.006397085080816,0.24141315179198483
1.01,0.00035,1.0252152262530114,0.2351115704641428
1.01,0.00039999999999999996,1.044559943937149,0.23009715880611561
1.01,0.00045,1.0639535517696694,0.22586394438417365
1.01,0.0005,1.0830531313605485,0.22211174508424966
1.01,0.0005499999999999999,1.1016155344538496,0.2186583784255288
1.01,0.0006,1.120738713218536,0.2963080156932154
1.01,0.00065,14665.686206422586,920683.6507272676
1.01,0.0007,inf,inf
1.01,0.0007499999999999999,inf,inf
1.01,0.0007999999999999999,inf,inf
1.01,0.001,inf,inf
1.01,0.0015,inf,inf
1.01,0.002,inf,inf
1.05,1e-05,0.995368970647336,0.7574391866803722
1.05,2.5e-05,0.9770665352973043,0.5367315679738636
1.05,5e-05,0.9620118757607474,0.4079966360203669
1.05,0.0001,0.9529313853200786,0.3172457116046689
1.05,0.0002,0.9647530396817219,0.2591835099777353
1.05,0.00025,0.9765602903549506,0.24595862179162004
1.05,0.00030000000000000003,0.9899365690523658,0.23654625356010603
1.05,0.00035,1.0039460520851309,0.22926691490631174
1.05,0.00039999999999999996,1.0179594318080798,0.22324165241392868
1.05,0.00045,1.0315480640159485,0.21797803893282786
1.05,0.0005,1.0444246651476787,0.213188647701502
1.05,0.0005499999999999999,1.0564049451357298,0.20870279458265328
1.05,0.0006,1.0683891364717168,0.2858626250327767
1.05,0.00065,11724.259848750167,924743.3573433523
1.05,0.0007,inf,inf
1.05,0.0007499999999999999,inf,inf
1.05,0.0007999999999999999,inf,inf
1.05,0.001,inf,inf
1.05,0.0015,inf,inf
1.05,0.002,inf,inf
1.1,1e-05,0.9952069970522709,0.7570252237594496
1.1,2.5e-05,0.9765146086690256,0.5360276710827208
1.1,5e-05,0.9606187692733543,0.4069052239318213
1.1,0.0001,0.9493473476887188,0.31537741907424316
1.1,0.0002,0.954875045257397,0.25556137333371604
1.1,0.00025,0.962627643690799,0.24137042621464416
1.1,0.00030000000000000003,0.9714015492318228,0.23095448288517026
1.1,0.00035,0.9803247269189332,0.22265246062361732
1.1,0.00039999999999999996,0.9888439385929819,0.21560357514264936
1.1,0.00045,0.9966132714557032,0.20933210315628198
1.1,0.0005,1.0034295145307093,0.20356505427601015
1.1,0.0005499999999999999,1.0091895076943878,0.19814354124056274
1.1,0.0006,1.0147289136090956,0.27533042460657886
1.1,0.00065,10213.983038748704,933711.6018725083
1.1,0.0007,inf,inf
1.1,0.0007499999999999999,inf,inf
1.1,0.0007999999999999999,inf,inf
1.1,0.001,inf,inf
1.1,0.0015,inf,inf
1.1,0.002,inf,inf
1.3,1e-05,0.9945769203171021,0.7553864417468089
1.3,2.5e-05,0.9744340096261718,0.5332778418607569
1.3,5e-05,0.9555301659086749,0.40272167894529415
1.3,0.0001,0.9366730806137755,0.30844994772535794
1.3,0.0002,0.9216024972786888,0.2429891397947283
1.3,0.00025,0.9169702492409092,0.22598713638022092
1.3,0.00030000000000000003,0.9124645052431407,0.212861938293718
1.3,0.00035,0.9075983479470823,0.2020146810497631
1.3,0.00039999999999999996,0.902180522657247,0.19263373167087022
1.3,0.00045,0.8961833388538696,0.18427730344622134
1.3,0.0005,0.8896668090106759,0.1766914692861865
1.3,0.0005499999999999999,0.882732928269075,0.1697235251634932
1.3,0.0006,0.8762512507390012,0.24978984261079817
1.3,0.00065,9061.78283110111,979156.778504468
1.3,0.0007,inf,inf
1.3,0.0007499999999999999,inf,inf
1.3,0.0007999999999999999,inf,inf
1.3,0.001,inf,inf
1.3,0.0015,inf,inf
1.3,0.002,inf,inf
1.5,1e-05,0.9939732662088578,0.7537739557717347
1.5,2.5e-05,0.9725244778722464,0.5306249352653596
1.5,5e-05,0.9510260174968242,0.39879441348192907
1.5,0.0001,0.9258383934537745,0.30225980360043175
1.5,0.0002,0.8951377728811648,0.23284481749433122
1.5,0.00025,0.8822625887381568,0.21422493990720842
1.5,0.00030000000000000003,0.869837474914787,0.19977143097076486
1.5,0.00035,0.8577079129054265,0.18789932646463553
1.5,0.00039999999999999996,0.8459056573818214,0.17779223673815053
1.5,0.00045,0.8345268224331097,0.16898879010975143
1.5,0.0005,0.8236748166309835,0.16120570597681116
1.5,0.0005499999999999999,0.8134357250138926,0.15425600497054107
1.5,0.0006,0.804623223716343,0.23873314857972056
1.5,0.00065,9177.23837325915,1032542.594526819
1.5,0.0007,inf,inf
1.5,0.0007499999999999999,inf,inf
1.5,0.0007999999999999999,inf,inf
1.5,0.001,inf,inf
1.5,0.0015,inf,inf
1.5,0.002,inf,inf
2.0,1e-05,0.9925639948507147,0.7498499090262113
2.0,2.5e-05,0.9682982174162187,0.5243614188085542
2.0,5e-05,0.9413952495011642,0.3898988137994952
2.0,0.0001,0.9037269281474272,0.28931216797564674
2.0,0.0002,0.847987830023134,0.2148984729674405
2.0,0.00025,0.8253554565960548,0.19515037629764323
2.0,0.00030000000000000003,0.8058610631784876,0.18033974281447906
2.0,0.00035,0.7893909527792164,0.16874118136522354
2.0,0.00039999999999999996,0.7757441617007887,0.15939235114311884
2.0,0.00045,0.7646508448627639,0.15169562759747304
2.0,0.0005,0.7558101513827381,0.14525025770374056
2.0,0.0005499999999999999,0.7489206727909197,0.13977399692026046
2.0,0.0006,0.7445134982173063,0.2368838047390236
2.0,0.00065,10316.497545970426,1197731.3946095363
2.0,0.0007,inf,inf
2.0,0.0007499999999999999,inf,inf
2.0,0.0007999999999999999,inf,inf
2.0,0.001,inf,inf
2.0,0.0015,inf,inf
2.0,0.002,inf,inf
2.5,1e-05,0.9912732018847974,0.7460663150263885
2.5,2.5e-05,0.9646174959991992,0.5185514773984291
2.5,5e-05,0.9332728681478826,0.3820965353684653
2.5,0.0001,0.8864791360171814,0.2792037225534256
2.5,0.0002,0.8191509704921633,0.2040994667136964
2.5,0.00025,0.795451401629112,0.18522011061010082
2.5,0.00030000000000000003,0.7774702051241579,0.17169546308140812
2.5,0.00035,0.7643138136110618,0.16158324051325154
2.5,0.00039999999999999996,0.7550758654014756,0.1537689451773777
2.5,0.00045,0.7489427836204325,0.1475576712123072
2.5,0.0005,0.7452323105627888,0.14249260640967323
2.5,0.0005499999999999999,0.7433934941977224,0.13826393496308464
2.5,0.0006,0.7438923037627357,0.24882091180764315
2.5,0.00065,11958.067915006795,1402614.9890630087
2.5,0.0007,inf,inf
2.5,0.0007499999999999999,inf,inf
2.5,0.0007999999999999999,inf,inf
2.5,0.001,inf,inf
2.5,0.0015,inf,inf
2.5,0.002,inf,inf
3.0,1e-05,0.9900774515185287,0.7424102026064231
3.0,2.5e-05,0.9613107345838798,0.5131327738451401
3.0,5e-05,0.9261905673882451,0.375211896516972
3.0,0.0001,0.8728181706615136,0.2713106195438714
3.0,0.0002,0.8023801319529054,0.1978574058786487
3.0,0.00025,0.7814543163076259,0.180503819375682
3.0,0.00030000000000000003,0.7676207675491195,0.16854203405746943
3.0,0.00035,0.7591065699802276,0.159880125724395
3.0,0.00039999999999999996,0.7544712797142963,0.15333849071091477
3.0,0.00045,0.7526222550681008,0.14820560543362843
3.0,0.0005,0.7527565560800791,0.14403277446008045
3.0,0.0005499999999999999,0.7542916045932092,0.14052922158822523
3.0,0.0006,0.7578114545654266,0.26552595675261237
3.0,0.00065,13985.059532226494,1648228.3567226352
3.0,0.0007,inf,inf
3.0,0.0007499999999999999,inf,inf
3.0,0.0007999999999999999,inf,inf
3.0,0.001,inf,inf
3.0,0.0015,inf,inf
3.0,0.002,inf,inf
4.0,1e-05,0.98790550008463,0.7354407071577933
4.0,2.5e-05,0.9554799076608511,0.503310034376447
4.0,5e-05,0.914350610430647,0.36374998330079156
4.0,0.0001,0.8536701470765263,0.26053984059990243
4.0,0.0002,0.7902130800833899,0.19327470987624482
4.0,0.00025,0.7774325298566404,0.17894183361841282
4.0,0.00030000000000000003,0.7716925743006482,0.16946524389827103
4.0,0.00035,0.7703661945910723,0.1627437486611735
4.0,0.00039999999999999996,0.7717805773403867,0.157669386888726
4.0,0.00045,0.7748800672877282,0.15361903857901482
4.0,0.0005,0.7789936536684027,0.1502253935595506
4.0,0.0005499999999999999,0.7836898815257659,0.14726561271123892
4.0,0.0006,0.7899478720488154,0.30579312702884553
4.0,0.00065,19304.426337227906,2284280.1530798906
4.0,0.0007,inf,inf
4.0,0.0007499999999999999,inf,inf
4.0,0.0007999999999999999,inf,inf
4.0,0.001,inf,inf
4.0,0.0015,inf,inf
4.0,0.002,inf,inf
